just	2495:20499:2124:537
singing	43545:53148:1877:340
groups,	45690:53201:1897:288
the	46722:59269:783:262 43710:62310:763:288 47588:55337:783:275 50724:56622:783:275 47423:60121:783:275 45855:60567:845:262 43566:53594:783:275 47918:53148:783:275 50579:55324:783:262 43607:58837:763:275 52064:57919:887:275 52168:55744:742:275 44226:61445:948:288
alley	45360:57080:1340:340 43586:56202:1320:340 48991:53148:1320:340
cats	46887:57080:1113:275 50579:53135:1134:275
and	51982:53122:928:288 43628:59689:907:275
dukes	44824:53581:1588:275
men,	46928:53594:1237:327
were	48661:53646:1237:209
forced	50352:53555:1629:288
to	48413:57972:536:262 52456:53581:453:262
remove	43566:54105:1939:196
some	46020:54092:1361:209 50930:61956:1340:209
of	47898:54027:474:275 48640:59689:474:275 49795:55324:495:275 46701:60134:453:262 52580:61878:474:288 45608:54905:453:275
their	48723:62310:1196:288 48867:54027:1217:275
jam	50579:54013:1031:340
announcements	52126:54079:536:209 43566:54485:3382:249
last	47155:54459:928:288 46433:61878:907:288
week.	48310:54446:1423:288
dean	44102:54905:1320:275
student	46247:54892:1939:288
affairs	48372:54892:1774:288
lloyd	50352:54865:1402:353
suttle	43566:55337:639:275 51941:54879:742:275
questioned	44515:55337:2764:353 49218:58352:2743:380
use	48661:55416:845:196
word	51652:55298:1278:288
"champagne"	43607:55770:3630:353
on	47691:55848:598:209
posters	48723:55783:1835:340 45030:62336:1835:327
for	47444:62310:721:288 50992:55744:721:288
cats'	45298:56202:1278:288
annual	46969:56202:1712:275
jam.	49073:56202:1155:353
although	50620:56163:2310:366
champagne	45690:63188:2970:340 43566:56635:3011:353
was	51941:57539:990:222 46825:56713:969:209
served	51322:63162:1712:275 48063:56635:1691:275
at	50002:56648:474:262
jamboree,	43586:57080:1567:327 51714:56609:928:353
business	48207:57080:2248:275
manager	50641:57067:2289:327
bill	43607:57513:845:275
dodge	51363:60095:1608:340 44638:57513:1608:353 48372:58824:1608:340
asserted	46392:57513:2165:275
that	44494:63188:990:262 48723:57513:1010:275
"no	49899:57513:907:262
one	50930:57565:887:196
coming	43586:57959:2186:340
just	46516:57959:1134:340
drink	49692:57932:1567:275
champagne."	43586:58391:3486:353
when	47464:58391:1423:275 49300:61878:1299:288
by	52333:58352:598:353
dean's	44556:58837:1753:275
office,	46474:58837:1691:301
successfully	50146:58798:2578:288 43628:59256:433:340
defended	44246:59256:2330:275
title	47650:59256:1010:275
as	48805:59335:536:196
"ideological"	49548:59217:3403:353
representative	44721:59689:3774:353
"the	49321:59689:1072:262
20's,	50559:59663:1072:327
flapper	43628:60200:825:275 51838:59663:907:340
motif"	44721:60121:1670:275
jamboree.	48455:60121:2578:340
called	43628:60554:1691:275
stringent	47238:60554:2537:340
postering	50352:60528:2619:353
regulations	43628:60986:2887:314
"absurd."	46763:60973:2578:327
duke's	45464:61445:1732:288
men	47485:61458:1093:275
rah	48867:61458:845:275
into	50002:61445:928:288
similar	51198:61445:1856:275
problems	43710:61878:2392:353
week	47671:61878:1320:288
"i	50497:62310:515:275
think,	51590:62310:1443:327
therefore	43710:62743:2372:275
i	46247:62756:165:249
jam"	46598:62743:1340:340
jamboree	48104:62743:2475:340
announced	50724:62821:2042:196 43710:63175:536:275
would	48867:63175:1485:275
be	50579:63175:556:262
giamatti	53653:45101:4393:550
will	58438:45101:1732:537
head	60604:45114:2310:537
local	53632:45953:2310:550
united	56376:45953:3424:537
way	60233:45953:2310:655
fundraising	53632:46805:5631:681
efforts	59635:46805:3300:537
by	53777:47984:660:327
deborah	54664:47971:2867:262
yaffe	57758:47971:2000:249
yale	54272:48391:1320:275 60109:62323:1175:275
president	55592:50121:2475:288 53715:62756:1093:288 56149:48391:2846:275 61615:62323:1217:353
a.	59573:48404:577:262
bartlett	60769:48391:2330:288
giamatti	53735:56242:2289:275 53756:48823:2289:288 54251:56674:2310:275 54251:62323:2289:275 57861:53607:2289:275
will	56396:48823:928:288 55551:61026:928:275 57964:58404:928:288 60089:56661:928:288
serve	57696:48902:1402:209
as	59449:48902:536:209
1985	60378:48849:990:249
campaign	53756:49269:1382:353 57490:63188:2537:353 61718:48823:1031:288
chairman	55365:49256:2557:288
for	62317:50999:763:288 62317:55350:742:288 58108:49256:742:288
the	57056:62756:783:288 62275:63188:783:275 62296:59715:783:288 53756:51458:763:275 57634:62323:763:275 54251:51012:969:275 60171:60148:783:288 55159:54931:783:262 60047:54905:948:275 53735:55796:763:288 59057:49256:783:288
united	59924:57539:1712:288 61347:54918:1712:275 60047:49256:1691:288 60027:49688:1712:288 55447:50999:1691:288 53735:63188:1691:288 61368:61445:1691:288
way	57366:51012:1093:340 61945:57539:1113:353 53735:55377:1113:327 61945:49269:1134:353 61925:49701:1134:340 53735:61904:1093:340
of	54911:54485:474:288 55592:53607:453:288 59491:60148:474:288 56809:54472:474:288 53756:49701:453:275 61430:53175:495:275
greater	61161:60174:1897:327 57985:62769:2000:275 55056:55796:1897:340 54437:49701:2000:275
new	57407:59361:1010:209 56664:49701:1093:262 57510:55796:1113:275 53735:60606:1134:262 60151:62756:1113:275
haven,	57985:49701:1815:314
board	53756:50121:1547:301
robert	58356:50121:1732:288
behan	53756:61471:1588:262 60378:50121:1608:288
announced	53735:50566:2104:288 62275:50199:536:209
yesterday.	56046:50553:2681:366
raises	58686:50999:1526:275
money	60419:51077:1712:275
american	54684:51444:2495:275
heart	57407:51444:1443:275
association	59037:51444:2929:275
and	56788:53175:907:275 55509:60148:948:288 57758:57972:907:288 56974:51864:907:288 62131:51431:928:288
other	53756:51877:1320:288
local	55406:51877:1196:275
national	58232:51864:2062:288
organizations.	53756:52323:1340:275 60646:51877:2165:340
"i	54313:52755:474:262
think	55282:52742:1278:275
i	57056:52755:165:262
have	57717:52742:1196:275
a	60769:61524:288:209 55530:54564:288:196 59367:52821:288:196
community	60130:52755:2929:340
obligation,	53735:53188:2661:340
this	58872:54040:907:275 58047:53175:907:275
is	56871:62323:412:275 59305:53175:391:275 60006:54040:391:275 55117:55363:371:275
part	60027:53188:1093:327
my	62255:53253:804:275
sense	53735:53699:1402:209
it,"	56520:53607:845:327
said.	60604:53594:1217:288
"it	62317:53607:742:288
seemed	53756:54040:1918:301
to	60027:61471:453:262 55922:54066:433:262 54973:62782:453:262 61615:59741:453:262
me	56603:54118:783:196
that	62048:57107:1010:288 57613:54040:1010:288
an	60233:60659:598:209 60625:54118:618:196
extension	53756:54498:990:275 61471:54066:1340:262
lot	56025:54485:618:275
our	57448:54551:845:209
efforts	60130:57094:1650:288 58438:54472:1691:288
at	60274:54485:515:262
working	60955:54472:2104:353
with	53735:54931:1093:275
community."	56273:54905:3424:353
"a	55777:55363:577:275
very	56603:55429:1155:275
important	57985:55363:2578:340
thing	60790:55350:1299:353
haven	59181:55796:1650:262 61388:62756:1629:288 55097:60606:1608:262
area,"	61347:55796:1691:327
added.	58913:58837:1691:288 56252:56229:1650:288
said	56726:56661:1031:288
his	57964:56661:721:288
post	58872:56674:1052:340 58872:59296:1052:340
involve	61182:56661:1897:288
overseeing	53735:57107:2764:353
fund-raising	56747:57094:3114:366
start	53735:57552:1196:275
next	55241:57552:1093:275
year.	56644:57605:1299:288
since	58273:57539:1361:288 60481:63188:1320:275
has	53715:57972:866:288
both	54911:57972:1113:288
paid	56334:57972:1093:366
volunteer	58995:57972:2392:288
staff,	61718:57972:1320:340
giamatti's	53735:58404:2743:288 54272:59269:2702:301
role	56726:58404:1010:288
be	59119:58404:598:275
"essentially	60006:58404:3032:366
organizational,"	53715:58837:4228:366
he	58150:58850:577:275
represents	60336:59296:2722:340
"an	53756:59728:928:275
outstanding	54911:59715:2970:353
commitment	58108:59715:3300:288
health	53715:60161:1588:275
well-being	56644:60148:2661:353
community,	56912:60593:3094:340
alliance	61038:60580:2042:288
which	53756:61026:1485:275
greatly	56788:61026:1856:353
benefit	58975:61013:1732:288
us	61038:61091:556:209
all,"	61883:61013:1155:340
said,	55654:61458:1175:340
according	57180:61458:2516:353
press	55056:61969:1340:275
release.	56603:61891:2000:275
first	58727:62323:1052:275
chair	55571:62769:1320:275
wav	55922:63201:1093:288
yale	59924:44105:887:183
daily	60934:44105:1010:235
news	62090:44118:1010:196
a.	54560:44511:515:249
bartlett	55344:44511:3114:249
giamatti	58665:44511:2908:275
yale	59924:44105:887:183
daily	60934:44105:1010:235
news	62090:44118:1010:196
a.	54560:44511:515:249
bartlett	55344:44511:3114:249
giamatti	58665:44511:2908:275
