plumbers	2168:8113:6076:707
"should	57494:41365:1923:301
not	56982:50121:797:275 61954:51838:797:262 58189:46621:777:262 59846:41378:777:275
be	61013:41365:593:288
inr	62015:41365:654:288
terfering	53361:41837:2291:353
in	59069:47919:470:275 55816:41837:470:275 58844:59951:470:262 56552:54066:470:275 53504:58391:450:275
nicaragua's	56470:41811:3130:366
internal	59785:41798:2005:288
affairs,"	53361:42283:1698:327 61995:41798:450:288
and	56327:56635:941:288 55243:42270:941:288 56368:60803:920:288 53504:55796:920:288 57187:61262:920:262 59990:60357:920:288 59990:43541:920:288 58987:50501:941:301
such	57575:42256:1145:288
involvement	58885:42243:3191:288
is	62240:42230:409:301 56798:51431:368:275 54752:55363:388:275 53504:56674:368:262
"counterproductive	53422:42702:5237:366
to	59662:52729:491:262 59969:52296:470:262 61156:49662:470:262 53381:47106:491:262 55386:52336:450:262 55141:45782:450:262 59151:46621:491:262 59192:42702:491:262 57678:58378:450:262 59396:56635:470:262 59540:60803:470:262 55386:55377:470:249
our	60215:42755:879:209
benefit."	53361:43148:2271:301
like	53892:43593:1125:275
avery,	55263:43593:1718:340
morrision	57248:43567:2496:288
perry	59580:61681:1514:340 61156:43554:1514:340 54015:54944:1493:327
both	53381:44026:1084:288
stressed	54670:44000:2107:314
as	58046:55848:531:196 59519:48417:552:209 56941:44078:552:209 60010:55390:531:196 57760:58011:552:196
most	58660:44000:1227:275
important	60092:43987:2578:353
result	53381:44458:1493:288
of	62343:62559:470:288 58762:62559:470:275 59601:54013:491:288 55018:44458:491:288 56757:46175:491:288 60153:48771:470:288 57412:57094:470:288 58025:56202:491:288
realization	58742:44419:2721:288
neither	53401:44891:1800:288
sandinista	61627:50081:838:275 53483:50593:1718:288 56593:44852:2659:314
government	55570:50553:3069:366 59580:44852:3089:353 53463:51444:3069:353
nor	53381:45415:838:209
its	54465:45337:613:275
opposition	55345:45310:2578:366
wants	58169:45310:1473:262
support	55795:45756:1923:353
contras.	58864:45743:2066:262
house	55038:46215:1554:262
representatives	57391:46162:4173:366
will	61729:46149:941:288
decide	53381:46634:1657:301
whether	55222:46634:2066:275
or	57473:46687:531:209
resume	59806:46660:1902:209
aid	61893:46582:797:288 60072:49636:797:288
contras	54568:48391:1882:275 53422:50134:1923:275 54956:47080:1882:275
within	56982:47054:1575:288
next	59642:47054:1104:262
month.	60890:47027:1759:288
roy	53933:47525:1063:340
bera,	55570:47512:1473:327
morrison's	57637:47473:3028:301
press	61217:47539:1473:275
"	53156:47906:40:380
secretary,	53401:47958:2598:327
that,	57616:47919:1145:340
nicaragua,	59826:47906:2844:340
are	60931:51903:838:209 56818:48443:838:196
seen	58025:48430:1125:209
"nothing	60460:48338:2230:340
more	53422:48889:1329:222
than	55263:48810:1104:288
supporters	56900:48810:2741:340
(overthrown	53442:49269:1800:301 61197:48784:1268:275
dictator)	55427:49216:2250:301
somoza."	57903:49190:2455:288
bera	53954:49688:1227:288
pointed	55488:49662:1902:380
out	57678:49675:777:275
has	55734:50121:859:288
toppled	58169:50081:1882:366
"the	61667:50488:1104:288
only	53483:51025:1084:353
way	54690:51091:1063:275
u.s.	56818:50986:1043:301
can	58066:51051:879:209
overthrow	59089:50933:2618:314
this	61852:50920:920:288
if	57412:51431:368:275
it	58025:51418:347:288
launches	58598:51405:2250:288
an	61095:51471:593:209 57473:56713:593:196
allout	61933:51379:613:288 53463:51903:797:275
military	54465:51877:2107:340
invasion.	56777:51864:2271:288
they	53504:60397:1268:353 59437:51838:1268:353
going	53483:52323:1391:353
'say	56389:52310:1002:353
uncle'	57923:52283:1493:301
ronald	60951:52244:1800:301
reagan"	53504:52742:2250:366
—	56000:52899:491:39
a	59662:62625:286:209 59724:58417:265:209 56675:52808:265:209
reference	57105:52729:2434:288
president	60276:52690:2475:301
reagan's	53504:53175:2373:366
recent	56245:53175:1636:275
remark	58271:53135:1923:301
sandinistas	53545:53660:2925:301 54568:57946:2925:288
should	56634:53594:1657:314
"say	58476:53607:1166:340
uncle,"	59785:53568:1861:340
is,	53565:54105:552:340
give	54384:54092:1084:353
up	55693:54158:613:262
face	58291:54040:1063:288
american	60317:54000:2496:288
opposition.	53565:54525:2721:366
feels	55795:54905:1166:288
group's	59601:54865:1882:366
role	61770:54865:982:288
now	53504:55455:1002:196
"tell	56123:55337:1104:288
story	58496:55337:1268:340
broadly	60788:55298:1964:353
passionately	54650:55770:3191:366
we	58803:55835:695:209
feel	59724:55744:900:275
it"	60849:55744:675:275
"what	53545:56229:1534:275
people	56205:56202:1636:366
nicaragua	58680:56202:2659:314
want	61504:56189:1248:262
peace,"	54118:56635:1964:366
end	58291:56622:900:288
states'	53524:57146:1698:288
"policy	55407:57120:1861:353
violating	58005:57067:2230:340
their	60378:57054:1207:275 54138:58378:1207:288
selfdetermination."	61729:57028:879:327 53545:57526:4112:353
she	58066:57513:879:288
described	59130:57474:2496:314
"deeply	58619:57906:1964:353
faithful	60890:57893:1861:288
attempt	55488:58378:2005:340
build	58291:58339:1248:288
new	61688:62127:1125:275 61667:59518:1104:262 60174:58404:1002:209
society."	61340:58339:1227:275 53524:58811:1186:366
group	55202:59584:1473:288 60419:62599:1493:314
also	56880:59518:1002:275
visited	58107:59492:1698:288
leon,	60010:59518:1391:327
haven's	53524:59964:2046:288
sister	55898:59964:1391:275
city	57596:59951:941:340
nicaragua.	59642:59938:2823:353
brought	55059:60397:1984:340
"medical	57371:60370:2312:288
school	55447:61262:1575:288 61197:60370:1595:288
supplies,"	53586:60816:2557:353
worked	57494:60790:1861:288
develop	60215:60777:1964:353
"sister	53545:61275:1718:275
church	58271:61262:1739:262
relations	60194:61275:2250:249
between	53504:61707:2107:275
two	56777:61707:879:275
cities,	57862:61681:1514:327
said.	61279:61668:1186:288
four	55468:62140:1043:275
delegates	57002:62127:2414:340
from	54261:63018:1227:275 59908:62114:1248:275
haven	53504:62585:1636:275
were	55570:62651:1268:196
part	57268:62572:1063:353
25	53504:63057:491:235
areas	55795:63083:1370:209
all	57473:63005:634:288
over	58394:63083:1125:209
country	60829:63031:1984:327
who	53483:63464:1023:262
made	54813:63437:1411:288
trip.	57555:63437:1063:353
ydn	48552:61891:879:170
steve	49637:61891:1002:170
lefkovits	50782:61878:1780:222
counter	33534:62349:2844:262
contras	36542:62336:2700:275
—	39427:62467:531:39
u.s.	40163:62323:1023:262
representative	41391:62323:3887:327
bruce	45442:62323:1514:249
morrison	47120:62297:2291:275
(above),	49637:62297:2107:301
d-3,	51928:62310:961:288
along	33534:62795:1370:314
with	35171:62769:1043:275 43294:63188:1063:262
julie	36501:62769:1227:275
avery,	37995:62782:1677:314
divinity	39979:62756:2025:327
'87,	42312:62769:757:275
and	43355:62756:920:262
two	44522:62769:859:249
other	45626:62756:1329:249
new	47222:62730:1063:275
haven	48573:62743:1595:249
residents,	50414:62730:2455:314
spent	33534:63228:1350:327
nine	35028:63215:1063:262
days	36256:63201:1145:340
in	37606:63201:429:262
nicaragua	38199:63201:2680:314
meeting	41064:63188:2066:340
the	44522:63188:777:262 48020:63621:777:262
country's	45442:63188:2373:327
leaders.	48000:63175:2005:262
morrison's	50169:63175:2721:262
press	33534:63726:1329:262
secretary	35089:63660:2414:327
said	37749:63634:1002:262
they	38977:63634:1063:327
found	40286:63621:1411:262
"next	41923:63647:1391:235
to	43519:63647:470:249
110	44174:63700:572:183
support	44972:63634:1902:314
for	47120:63621:675:262
contras."	48982:63621:2393:249
ydn	48552:61891:879:170
steve	49637:61891:1002:170
lefkovits	50782:61878:1780:222
counter	33534:62349:2844:262
contras	36542:62336:2700:275
—	39427:62467:531:39
u.s.	40163:62323:1023:262
representative	41391:62323:3887:327
bruce	45442:62323:1514:249
morrison	47120:62297:2291:275
(above),	49637:62297:2107:301
d-3,	51928:62310:961:288
along	33534:62795:1370:314
with	35171:62769:1043:275 43294:63188:1063:262
julie	36501:62769:1227:275
avery,	37995:62782:1677:314
divinity	39979:62756:2025:327
'87,	42312:62769:757:275
and	43355:62756:920:262
two	44522:62769:859:249
other	45626:62756:1329:249
new	47222:62730:1063:275
haven	48573:62743:1595:249
residents,	50414:62730:2455:314
spent	33534:63228:1350:327
nine	35028:63215:1063:262
days	36256:63201:1145:340
in	37606:63201:429:262
nicaragua	38199:63201:2680:314
meeting	41064:63188:2066:340
the	44522:63188:777:262 48020:63621:777:262
country's	45442:63188:2373:327
leaders.	48000:63175:2005:262
morrison's	50169:63175:2721:262
press	33534:63726:1329:262
secretary	35089:63660:2414:327
said	37749:63634:1002:262
they	38977:63634:1063:327
found	40286:63621:1411:262
"next	41923:63647:1391:235
to	43519:63647:470:249
110	44174:63700:572:183
support	44972:63634:1902:314
for	47120:63621:675:262
contras."	48982:63621:2393:249
