'	15636:6668:102:65 15636:6668:102:65
within	12525:41141:1944:325 35305:15302:1555:273
woman	10008:19835:4850:546 33299:25422:1821:182 37966:26750:1842:195 3806:34499:2292:234 3847:30866:2333:221 10888:45387:2271:221
woman.	10704:24653:2476:234
women	13897:32428:2230:234 2496:36036:2230:247 17519:25174:2251:234 13937:38641:2251:234 19750:28287:2230:234 9967:41232:2271:234 10806:26203:2230:234 10765:40112:2353:312 35776:31933:1780:208
women.	2496:30345:2476:221
women's	9619:27167:2783:312
wonder	27814:20564:1882:286
won't.	60684:27805:1514:286
word	44699:17529:1248:260
working	24396:20955:2067:364 48997:26568:2046:338
worse,	30516:5886:1678:247
worth,	4871:16045:1289:234
woula	23864:38758:1473:273 37925:31868:1494:286
would	2476:32311:1882:338 8248:30774:1862:325 6344:34408:1862:325
wouldn't	53725:23064:2149:286
woulo	25174:29199:1473:273
write	30086:37039:1309:273
writers	11256:12711:1862:195
written	57245:17438:1821:273
y	18154:9194:245:195
yaffe.	5710:14495:1207:221
yale	17621:14677:552:143 16005:14221:552:143 16230:15146:573:130 19177:15823:552:143 18645:32350:1473:312 6713:40633:1453:312 10069:20929:1453:312 13262:23025:1453:312 15534:44775:1432:325 28837:45739:1146:260 24908:31803:1146:273 26238:30071:1187:273 31171:39214:1146:273 23966:34408:1146:273 30311:32259:1146:273 30004:27050:1166:286 28960:22322:3684:898 38436:34916:1146:260 37720:33614:1187:260 4420:2109:4318:2344
yale,	6058:35958:1637:364 14777:41141:1616:364
yale.	25563:43980:1289:273
yale's	17969:26125:1944:325 17028:29225:1964:325 10356:21970:1964:325 2476:39591:1985:325 20016:27675:1964:325 26013:47028:1596:273
year,	4093:21515:1616:325
year's	13630:25617:1964:390
years	43594:12828:1391:260 6672:45895:1760:312
years,	9312:25161:1964:312
years.	15677:26216:1964:325 35469:19704:1535:286
yet	28264:37495:757:312
yortt	18092:14912:614:143
you	33422:2591:3643:1002 36533:7123:982:273 34302:13140:982:273 48813:26203:880:273 51985:20577:900:273 62137:22687:880:260 57082:23950:1023:260 56836:22270:900:260
you,	58637:18806:1023:260
you."	47135:23546:1371:338
you?	49263:20525:1146:325
young	22861:48395:1555:286 24969:47536:1514:273 41077:27610:1514:286
your	15247:48330:1698:455 15247:48330:1698:455 50921:54477:2251:494 50921:54477:2251:494 61871:22257:1125:260
yourself	43655:26568:2087:351
youth	23270:19626:1412:338
yun	16782:9780:695:208
