support	44424:41403:5369:1418
swim	31195:63894:1347:286
mud.	34421:63908:1245:286
niners	35911:63934:1674:273
by	37789:63921:592:338
four,	38606:63934:1184:299
31-27-.	40015:63960:1306:234
quote	45078:33346:5001:1093
of	50774:33385:2000:1106
the	53224:33424:2531:885
week	56552:33515:4001:859
over	44404:35234:1224:273
vacation,	45956:35234:2306:325
the	44772:36965:959:286 48651:35234:775:273 49386:39177:898:247 49814:35676:775:273 51978:38735:775:273 48303:36106:734:273
yale	49753:35234:1184:273 48181:38292:1184:273
men's	51264:35260:1510:260
basketball	43853:35650:2654:286
team	46895:35689:1245:247
had	48548:35663:898:273
misfortune	43853:36119:1102:247 50937:35689:1592:260
of	52305:36119:469:286 45221:36093:489:286 48610:39151:469:260
meeting	45976:36106:2062:338
university	49345:36119:2694:338
georgia	43853:36535:2041:338
in	46160:36535:428:273 50549:36561:428:260
a	46813:36626:285:182 49059:37056:285:195 50121:37941:285:195
tournament	47344:36574:2960:247
atlanta.	43853:36991:632:260 51203:36561:1327:273
elis	45996:36978:1020:273
fell	47283:36978:775:273
to	51039:38735:469:260 48344:37004:469:260
far	49610:36978:775:286
superior	50631:36991:2123:338
team,	43853:37420:1449:325
105-65,	45547:37446:1572:299
which	47344:37420:1469:273
would	49038:37420:1469:273
indicate	50733:37420:2021:286
that	43853:37850:1020:260
it	45057:37850:326:273
was	45568:37928:979:195
probably	46731:37850:2245:351
not	49161:37876:796:260
pleasant	50610:37863:2143:338
experience	43853:38279:2817:338
for	47058:38279:714:286
coach	49733:38292:1449:273
tom	51611:38305:1122:273
brennan.	43853:38722:2306:273
but	46691:38735:877:260
according	48038:38709:2531:351
january	43853:39151:2123:312
14	46303:39177:469:234
issue	47079:39151:1245:273
sporting	50631:39177:2123:312
news,	53367:35455:1510:299
rude	55082:35429:1143:273
georgia	53326:38891:2021:351 56429:35429:2000:351
fans	58654:35429:1061:286
added	59920:35429:1531:286
insult	53346:35858:918:273 61655:35442:408:273
to	54449:35871:449:273
injury	55061:35858:1531:351
by	56797:35858:592:351
bombarding	57572:35858:3082:364
brennan	53326:36366:918:208 60859:35871:1122:286 60063:37186:2184:273
during	54449:36301:1674:338
the	59859:36301:775:286 58920:36743:775:273 56368:36301:755:273 56307:37602:775:273
course	57327:36366:1653:221
of	61798:38058:469:273 59185:36301:469:286 53326:37160:469:286
game	60859:36366:1388:286
with	53326:36730:1102:273
invectives	54612:36730:2551:286
about	57348:36730:1388:286
ineptness	59859:36743:2368:338
his	54326:37160:694:286
team.	55551:37186:1429:260
finally,	57531:37160:2000:364
could	53326:37589:1347:286 56694:38461:1367:286
take	54959:37589:1082:286
heckling	57368:37602:2143:351
no	59777:37694:592:182
longer	60635:37615:1612:338
and	53326:38019:918:286
he	54530:38032:571:273
shot	55367:38032:1041:273
back:	56694:38032:1388:273
"every	58471:38032:1898:351
one	60655:38123:857:195
my	53326:38540:796:273
players	54449:38461:1898:351
graduate	58369:38461:2306:351
from	61023:38474:1204:286
in	55572:38891:449:286
10	56266:38930:449:247
days."	56919:38891:1674:351
support	44424:41403:5369:1418
nevis	50488:41403:3858:1067
tlfoertisers	55082:41455:7390:989
i	43730:44227:244:1392 63105:61656:40:754 62962:44227:204:1431 43730:46896:81:1145
attention	46058:44540:14270:1119
all	53714:56645:1694:533 45649:46896:2756:885
photographers	48344:59157:7370:663 44200:57998:7186:663 48998:46896:12412:1145
the	45425:49928:1878:546 61247:54015:1490:546 44241:51269:1510:546 51264:55291:1469:546
photography	47977:49928:6492:676
department	55143:49981:5941:637
of	49814:55291:1102:533 61778:50020:1102:520
:	63105:63114:40:637 43526:63114:61:637 43730:51256:61:741 43649:55291:61:702
yale	46099:51256:2164:572
daily	48630:51269:2633:676
news	53142:55330:2613:520 51631:51308:2592:520
will	54592:51282:1735:546
be	56694:51308:1102:533
holding	58144:51308:3756:689
a:	62248:51256:898:741
short	44179:52610:2592:546
organizational	47507:52623:7125:650
meeting	55408:52649:3858:676
mon-1	60043:52610:3103:715
day,	44220:53963:2041:650
january	47119:53976:3940:650
21	51815:53976:959:520
at	48732:61825:877:468 53652:54054:898:455
8	55265:53963:469:520
p.m.	56531:54146:2245:481
in	59614:54002:898:533
darkroom	44220:55291:5165:546
building,	56184:55317:4369:676
202	61023:55356:1694:533
york	44179:56645:2899:520
street.	48406:56645:3899:533
interested	56756:56658:5920:572
must	51856:58037:2368:481
attend.	54694:58024:3409:520
new	45649:59183:2266:520
welcome!	56307:59170:4899:533
if	45323:60445:837:533
you	46691:60588:1796:507
can't	49120:60419:2429:533
attend,	52183:60406:3389:624
call	56245:60393:1674:546
gary	58532:60432:2449:637
or	61594:60575:1020:377
daniela	44118:61760:3797:559
6-0825	50427:61760:3164:520
before	54490:61734:3144:533
monday	58491:61747:4144:663
evening.	44098:63114:4042:637
